,Earnings Yield,Dividend Yield,EPS Growth,Sales Growth,ROE,ROA,Gross Margin,Net Income Margin,Operating Margin,Price to Sales,Price to Book,MarketCap,momentum_12m,momentum_6m,momentum_3m,future_return,volatility,beta,idiosyncratic_vol,avg_volume
BKNG,0.03869908685247672,0.86,4.091,0.144,0.0,0.18225001,0.85871005,0.24778,0.30579,6.172779,-36.597794,146535612416.0,0.2865082811039297,0.15794139149429376,-0.15461406891890228,-0.10830415795354154,0.3203332196334425,1.0,0.3203332196334425,300083.3333333333
BWA,0.056794421742767505,1.53,0.0,-0.024,0.07271,0.05669,0.18799,0.024,0.103520006,0.4455652,1.134477,6276231168.0,-0.10433086005051007,-0.09633939486534215,-0.1790698034751813,-0.0028923086669264686,0.3405507026201882,1.0,0.3405507026201882,2781626.6666666665
BSX,0.012865376036158088,0.0,0.12,0.224,0.08889,0.05035,0.68412,0.11071,0.17321,8.561939,6.5808725,143386787840.0,0.4712295929006429,0.15901230514009845,0.07287992801949139,-0.08140298056368944,0.2621615777769145,1.0,0.2621615777769145,7944833.333333333
BMY,0.0,4.2,-0.959,0.075,-0.38946998,0.06546,0.75261,-0.18526,0.22662,2.4792874,7.3295245,119749574656.0,0.17680840016812516,0.2506052887050072,0.053157033723849834,0.050934937095881594,0.24732711455018547,1.0,0.24732711455018547,12865983.333333334
AVGO,0.0109951936709906,1.21,1.881,0.164,0.14845,0.069759995,0.76257,0.18473,0.31765,16.861107,3.3018692,919419289600.0,0.5754710387579078,0.195362074152152,0.07021790008311268,-0.1726677036746469,0.379911793836989,1.0,0.379911793836989,29973320.0
BR,0.028113332264277018,1.55,1.034,0.131,0.35341,0.08861,0.31165,0.11359,0.13252,3.9861999,11.953268,26639374336.0,0.14403938203207445,0.08962708974701306,-0.02627788190979219,-0.05708635539724394,0.23102096041216277,1.0,0.23102096041216277,533986.6666666666
BRO,0.029272419380097975,0.51,-0.219,0.152,0.16678,0.052849997,0.48939,0.21074,0.26615,7.172572,5.2655025,33797160960.0,0.39018453737340564,0.16015344595162295,0.13694787224291582,0.081526177674768,0.2220414569684307,1.0,0.2220414569684307,1742026.6666666667
BF-B,0.06007472695285665,2.6,-0.05,-0.032,0.27985,0.0896,0.59308,0.24450001,0.29855,4.0519214,4.301434,16390021120.0,-0.3458469881349281,-0.2365340617520726,-0.22160675222742765,0.14232073107103904,0.2506247435804838,1.0,0.2506247435804838,3762276.6666666665
BLDR,0.07179649770940454,0.0,-0.419,-0.08,0.23877001,0.09458,0.32821998,0.06572,0.07961,0.874232,3.3358889,14337833984.0,-0.3726260175781797,-0.2818688734078002,-0.2670190534552169,-0.16297421703816528,0.5305943821311024,1.0,0.5305943821311024,1805020.0
BG,0.10814835098638866,3.68,0.04,-0.093,0.10438,0.03886,0.062800005,0.02141,0.028870001,0.18636657,0.9984188,9897555968.0,-0.19601005543808303,-0.22053627457577674,-0.12018471071376657,0.08005702098480216,0.30785999352222354,1.0,0.30785999352222354,1798196.6666666667
