,1 Month,3 Months,6 Months,9 Months,12 Months
ZTS,-6.615359627219621,-13.275170626911056,-4.882126319972285,1.115200587164198,-16.979423089279457
CSCO,0.8174378955344656,10.57153483493989,27.944672957110917,20.300755668209238,17.834392486322255
CL,-6.848440032991097,-11.870212649004408,-10.196119075272566,1.0397430120878663,8.578517406479538
MMC,-1.96669154710209,-5.4489297822648,-1.6381947659802922,5.055181329151464,9.826441188009783
MDLZ,-5.603237383761386,-18.06297242672017,-11.588046950226794,-12.58248253036855,-20.238095983794114
CB,-2.8951245558364422,-6.3400131846222285,4.030113247928884,7.5201588292275705,18.379575536730023
GILD,-3.465450590373379,5.279321267710387,29.658180930397727,30.857304456173264,5.491123538045488
PNC,-4.774021546210007,6.16785617045242,18.49055937902395,25.57569129116148,25.454312323965407
MS,0.8439148884753901,18.301256887667332,23.583995497580545,39.50899997993798,39.76825089464822
WM,-4.39651977022275,-2.2060232630793877,-2.1782323156857006,-0.778095648863158,15.291890989666806
DUK,-2.5920234340721025,-4.322842354064734,5.251387172734742,13.436745836658515,9.014912054474246
USB,-5.914289810179421,7.966181442931779,18.921571973194272,15.441355857625291,11.797232147173476
TJX,-4.363204053079954,8.046900686272835,7.683455971836412,26.350231686996402,29.22243713043347
BDX,5.866144369200951,-0.47125780843643794,4.717022284771119,-2.722109908233889,-1.6693976448944916
SCHW,-11.321671197005852,9.52737933795172,-2.1841046675682634,2.6722947491629934,10.908538952394409
CI,-10.293216525537852,-20.308129151435452,-15.334483882369451,-21.94276487179743,-9.229167354680762
SCHD,-4.741982551883474,-3.1434669444336065,5.252341339617125,4.902086221484704,7.319625748082379
SO,-1.6234183629465466,-5.93701038560598,5.838850151848679,18.990971244824845,15.578441496257742
ATVI,,,,,
HUM,-6.189210687878707,6.637767371679678,-29.285018491074556,-15.991479900250157,-41.5940549086417
APD,-9.504772141509939,-9.332184837920526,11.573963824626226,20.914753750146016,6.851217085088786
CCI,-12.987269168323143,-20.411135112868404,-10.53170013328817,-10.44012002748144,-22.846312340580575
TFC,-5.402493265162519,3.436100321955409,11.946007748130473,17.200002034505207,16.48555869644321
ADSK,-2.506659877620482,6.719241019863624,19.963566669172224,23.998996664849095,24.097640912823387
D,-0.7453187782622025,-1.6038983193815144,9.748740651499686,11.8852445240528,13.916123777335015
EQIX,-1.1105096079031176,9.247134196227744,22.56301241004618,22.56144102658813,18.23120137101656
